1	07.11.2024	40500.00	За тур.поездку по договору №001 от 27.01.2023г	SERVICE
2	07.11.2024	32600	За оказание услуг по договору №53Б-02746 от 23/08/2024	SERVICE
3	07.11.2024	4710-00	Оплата штрафа	TAX
4	07.11.2024	30900-00	Лечение по договору №Д-00359/24 от 08.03.2025	SERVICE
5	07.11.2024	13200.00	Оплата основного долга за период с 16.12.2024г. по 20 марта 2026г по Договору №Г03388/25 от 02.09.2027г с ОАО "Второй банк"	LOAN
6	07.11.2024	4210.00	Оплата за Бульон Роллтон Домашний куриный 90г по счету 27336253164249532548 от 28.05.2023г Сумма 4210.00	FOOD_GOODS
7	07.11.2024	4240-00	Комиссионное вознаграждение за валютный перевод.	BANK_SERVICE
8	07.11.2024	4630.00	государственная пошлина	TAX
9	07.11.2024	8000.00	Лечение по договору №Д00184/63 от 27.12.2023 г.	SERVICE
10	07.11.2024	1310000	Оплата по счету 0187,0188,0189 от 02.01.2024 (в рамках договора финансовой аренды №00438Б от 22 декабря 2025г). В т.ч. НДС(20%) 218333,33	LEASING
11	07.11.2024	11800-00	Оплата по товарной накладной 0049 от 30 октября 2025 за конфеты "Алёнка".Сумма 11800-00 В т.ч. НДС 20% 1966-66	FOOD_GOODS
12	07.11.2024	3010.00	Оплата за Конфеты Milla Vanilla Трюфель классический 200г по счету 02975795096475183726 от 08.07.2023г Сумма 3010.00	FOOD_GOODS
13	07.11.2024	9900-00	Оказание прочих услуг	NOT_CLASSIFIED
14	07.11.2024	640.00	Перевод собственных средств на собственный счет	NOT_CLASSIFIED
15	07.11.2024	910.00	Оплата за Сушеная и вяленая рыба по счету 89060952434565760499 от 28/05/2026 Сумма 910.00	FOOD_GOODS
16	07.11.2024	24000	Оплата за консультирование в сфере информационных технологий по договору №16Д-01555 от 31.05.2028 г.	SERVICE
17	07.11.2024	3280	Перевод средств на собственный счет	NOT_CLASSIFIED
18	07.11.2024	2310000.00	Оплата по счету 0798,0799,0800 от 20.02.2024 (в рамках договора финансовой аренды №69-04477 от 04.03.2025). В т.ч. НДС(20%) 385000.0	LEASING
19	07.11.2024	1990.00	Оплата коммунальных услуг	SERVICE
20	07.11.2024	4880000.00	Окончательный расчет по акту приема-передачи №0046 от 04/05/2024г. (договор лизинга №01434А от 26/03/2024г.). В т.ч. НДС(20%) 813333.33	LEASING
21	07.11.2024	1960000-00	Оплата аванса за ГСМ по счету А-0631 от 21.01.2024г к Договору №Г02634 от 16.04.2025г. на сумму 1960000-00В т.ч. НДС(20%) 326666-66	NON_FOOD_GOODS
22	07.11.2024	24500-00	Оплата за программирование блока фары Mercedes VIN A007642266. Работы выполнялись по з/н №69-02194	SERVICE
23	07.11.2024	2970	Оплата за Чернослив Красная Цена 100 г по счету 37542489267283838868 от 24.12.2026 г. Сумма 2970,00	FOOD_GOODS
24	07.11.2024	31100	Комиссия за обслуживание по системе Клиент-Банк за период с :17.08.2024г. по 06 сентября 2024г. НДС не облагается.	BANK_SERVICE
25	07.11.2024	740000.00	Оплата по договору процентного займа (20%) №Г00646/57 от 04.05.2023г.. Без НДС	LOAN
26	07.11.2024	4190000	ПРЕДОПЛАТА ПО ДОГ. №466 за Раствор водный натриевых солей (поли)акриловой кислотыСумма 4190000,00 в т.ч.НДС  698333,33	NON_FOOD_GOODS
